Geneid,shScramble,shDDX41,DMSO,CX5461
ENSG00000132718.9,0.9232555290997616,0.0,2.025234095232205,1.0673449941368005
ENSG00000143622.12,146.80882425700958,137.9200907959829,64.27750216950231,66.38273084420184
ENSG00000132680.11,139.81777808114936,211.04215000065443,80.85763266825329,86.69711047220964
ENSG00000173080.6,0.0,0.0,0.0,0.0
ENSG00000116584.22,104.4789892608198,69.08254106111222,155.15230825883322,134.83636613984984
ENSG00000163479.14,161.32552672016743,127.29367093123147,106.24308553822424,92.41893351158754
ENSG00000160803.8,28.331393792812616,22.266485769021905,29.04703993976644,23.49670417962896
ENSG00000116586.12,214.6805837343895,198.48115630575748,211.1659950514141,185.15394779344325
ENSG00000132698.15,0.0,2.844649389082333,0.0,0.0
ENSG00000254726.3,4.355311926986769,3.644828416143272,9.155649782823,7.132960849149392
ENSG00000160789.24,281.49914785773103,335.8094452196382,284.2519665236789,275.49602057789616
ENSG00000196189.14,1.4131768281775117,1.4191737758558738,0.3874894063466729,1.6337267049525626
ENSG00000160785.14,24.928532259455466,47.43344616858965,13.670677262331855,11.755137429598513
ENSG00000260238.6,0.0,0.0,0.0,0.0
ENSG00000160783.19,18.98535774521812,9.53296194079377,12.493765573206296,12.071587173767044
ENSG00000242252.2,9.925954671773788,4.984038193112096,0.0,0.0
ENSG00000160781.17,5.670853597544408,11.389836787420135,0.0,0.0
ENSG00000198952.8,90.20192593881912,136.78290639935315,49.96092907385097,60.48207806519235
ENSG00000163472.19,20.51320315743224,25.354157351768126,11.24933377798588,10.033113350228543
ENSG00000198715.13,59.26975987530496,56.75284515832972,41.573895814039965,47.00776776395809
ENSG00000189030.10,0.0,0.0,0.0,0.0
ENSG00000163468.15,601.7532954897395,838.0716975776089,976.4149399060138,998.410915458796
ENSG00000163467.12,8.581722245372136,12.92720937621541,4.706171785423,7.44078263625592
ENSG00000132677.13,0.0,0.0,0.0,0.0
ENSG00000116604.19,38.41911789348815,43.121229827605646,33.875396499860244,32.222693293312126
ENSG00000183856.11,68.83388975439212,87.6546094087344,46.698738125897165,56.60601326217237
ENSG00000187862.13,0.0,0.0,0.0,0.0
ENSG00000163382.13,43.05074891855452,33.73158410851026,40.73167714314364,43.47998120137878
ENSG00000160818.17,6.210701192291172,11.43460428380802,9.082443168752304,8.376649138320706
ENSG00000132702.13,8.682958533203204,8.719805477604465,3.5712669288203114,7.528559563906851
ENSG00000132692.19,5.020262488767016,2.0166265763525963,2.2024686424959685,2.9018792023173665
ENSG00000132688.11,37.80704861332229,8.628974170546087,16.021100250124455,32.780603101177746
ENSG00000143320.9,234.3516063263708,57.72640169693233,43.64735107829926,53.67403740848193
ENSG00000143319.17,39.34315099009055,78.10137493662367,38.13358166922404,49.18543733451632
ENSG00000143303.12,102.66112032882852,134.9354814819329,64.57806250839985,65.45024171209649
ENSG00000143314.12,304.8410008223341,357.1570590490664,430.3162443444151,321.41693411343044
ENSG00000143321.19,421.8424004808464,392.635026000177,387.20597659541767,384.3437593712281
ENSG00000143294.15,105.7695685732122,136.9037305100877,108.9176468172664,115.48352973899202
